id_cliente,nome,sexo,idade,estado,tempo_como_cliente,frequencia_compras,ticket_medio,total_gasto,forma_pagamento,ultima_compra,comprou_servico_instal,reclamacoes,avaliacao_media,churn
1,Paulo Viana,Masculino,46,SP,15,3.0,618.73,22096.4,Pix,152,0,0,4.4,0
2,André Porto,Masculino,47,RS,38,0.2,992.6,8075.51,Boleto,314,1,0,3.7,1
3,Enzo Gabriel Cunha,Masculino,44,SC,59,1.7,94.33,12150.7,Cartão de crédito,51,1,0,4.0,0
4,Manuella Abreu,Feminino,20,SP,37,2.5,212.0,14492.4,Cartão de crédito,89,1,0,4.1,0
5,Dr. Levi Silveira,Masculino,43,RS,53,1.1,278.97,18052.3,Boleto,35,1,0,5.0,0
6,Ravi Lucca Costela,Masculino,21,SC,2,1.8,247.54,927.34,Boleto,191,1,1,4.5,0
7,Mirella Lopes,Feminino,31,RS,31,3.7,134.07,12572.75,Transferência,208,0,0,2.9,1
8,Dra. Maya Pastor,Feminino,43,SP,25,1.3,565.56,14420.66,Boleto,15,0,0,2.8,1
9,Dra. Ana Cecília Marques,Feminino,41,BA,1,1.0,55.25,65.71,Pix,289,0,0,3.7,1
10,Arthur Miguel Andrade,Masculino,58,RS,28,3.5,642.13,56543.92,Pix,48,0,0,4.9,0
11,João Lucas Pastor,Masculino,52,RJ,44,2.6,892.85,100439.23,Transferência,257,0,0,4.5,0
12,Theo Garcia,Masculino,56,BA,27,2.2,456.16,19380.39,Pix,179,0,1,2.5,1
13,Beatriz Lopes,Feminino,21,SP,30,0.7,624.2,13421.55,Transferência,284,1,0,5.0,0
14,Dr. João Felipe Ribeiro,Masculino,23,PE,28,3.3,227.24,25942.51,Cartão de crédito,331,1,1,4.8,0
15,Nicole Garcia,Feminino,50,GO,1,1.1,455.75,596.98,Pix,165,0,0,2.3,0
16,Sr. Ravi Lucca Oliveira,Masculino,32,RJ,59,1.4,542.85,50301.36,Cartão de crédito,113,1,2,4.4,0
17,Pedro Azevedo,Masculino,54,PR,49,4.0,303.44,76482.03,Cartão de crédito,224,0,0,3.9,0
18,Théo Caldeira,Masculino,43,RJ,32,2.3,613.06,33773.77,Transferência,184,0,0,4.1,0
19,Sabrina Rocha,Feminino,22,CE,52,3.9,428.88,103490.22,Pix,187,1,0,2.7,1
20,João Lucas da Mota,Masculino,53,BA,19,2.9,819.03,41030.86,Pix,199,1,1,3.3,1
21,Antony Guerra,Masculino,57,PR,1,2.8,748.46,1729.87,Cartão de crédito,263,1,0,5.0,0
22,Dr. Thales Vargas,Masculino,19,SC,1,0.6,902.35,671.48,Boleto,9,0,0,3.3,1
